accession_version,taxid
NZ_LT904868.1,"IntegerElement(90370, attributes={})"
NZ_CP042357.1,"IntegerElement(34038, attributes={})"
NZ_CP084895.1,"IntegerElement(562, attributes={})"
NZ_CP033226.1,"IntegerElement(59201, attributes={})"
NZ_CP084897.1,"IntegerElement(562, attributes={})"
NZ_CP029840.1,"IntegerElement(90371, attributes={})"
NZ_CP014971.1,"IntegerElement(1454638, attributes={})"
NZ_LT904884.1,"IntegerElement(90370, attributes={})"
NZ_CP011259.1,"IntegerElement(1124917, attributes={})"
NZ_CP083824.1,"IntegerElement(299767, attributes={})"
NZ_CP084898.1,"IntegerElement(562, attributes={})"
NZ_LT904887.1,"IntegerElement(90370, attributes={})"
NZ_CP084896.1,"IntegerElement(562, attributes={})"
NZ_CP084899.1,"IntegerElement(562, attributes={})"
NZ_LT904890.1,"IntegerElement(90370, attributes={})"
NZ_CP029716.1,"IntegerElement(2027919, attributes={})"
NZ_CP010516.1,"IntegerElement(1267562, attributes={})"
NZ_CP011320.1,"IntegerElement(562, attributes={})"
NZ_AP024097.1,"IntegerElement(305, attributes={})"
NC_014973.1,"IntegerElement(443143, attributes={})"
NZ_LR134240.1,"IntegerElement(562, attributes={})"
NC_008536.1,"IntegerElement(234267, attributes={})"
NZ_CP073249.1,"IntegerElement(103721, attributes={})"
NZ_CP013913.1,"IntegerElement(47917, attributes={})"
NZ_LR134206.1,"IntegerElement(573, attributes={})"
NZ_CP013046.1,"IntegerElement(615, attributes={})"
NZ_CP020053.1,"IntegerElement(2027919, attributes={})"
NZ_CP035179.1,"IntegerElement(573, attributes={})"
NZ_CP018676.1,"IntegerElement(573, attributes={})"
NZ_CP021015.1,"IntegerElement(473423, attributes={})"
NZ_CP010238.1,"IntegerElement(562, attributes={})"
NZ_CP060662.1,"IntegerElement(546, attributes={})"
NZ_CP033257.1,"IntegerElement(59201, attributes={})"
NZ_LR890457.1,"IntegerElement(573, attributes={})"
NZ_CP018458.1,"IntegerElement(573, attributes={})"
NC_017911.1,"IntegerElement(1037911, attributes={})"
NZ_LR134155.1,"IntegerElement(61652, attributes={})"
NZ_LR134191.1,"IntegerElement(562, attributes={})"
NZ_CP079837.1,"IntegerElement(59202, attributes={})"
NZ_CP017617.1,"IntegerElement(90371, attributes={})"
NZ_CP011321.1,"IntegerElement(562, attributes={})"
NZ_CP026511.1,"IntegerElement(2079806, attributes={})"
NZ_CP026731.1,"IntegerElement(621, attributes={})"
NZ_CP012046.1,"IntegerElement(85698, attributes={})"
NZ_CP029173.1,"IntegerElement(2067957, attributes={})"
NZ_AP022133.1,"IntegerElement(550, attributes={})"
NZ_LT904869.1,"IntegerElement(90370, attributes={})"
NZ_CP014051.1,"IntegerElement(28901, attributes={})"
NZ_CP030178.1,"IntegerElement(487838, attributes={})"
NZ_CP020981.1,"IntegerElement(473423, attributes={})"
NZ_CP020987.1,"IntegerElement(473423, attributes={})"
NZ_CP041934.1,"IntegerElement(573, attributes={})"
NZ_CP006003.1,"IntegerElement(1334629, attributes={})"
NZ_CP014993.1,"IntegerElement(61645, attributes={})"
NZ_CP041656.1,"IntegerElement(1404864, attributes={})"
NZ_CP029687.1,"IntegerElement(562, attributes={})"
NC_005296.1,"IntegerElement(258594, attributes={})"
NZ_CP019899.1,"IntegerElement(575, attributes={})"
NZ_CP097694.1,"IntegerElement(573, attributes={})"
NZ_CP036490.1,"IntegerElement(34038, attributes={})"
NZ_CP027604.1,"IntegerElement(2027919, attributes={})"
NZ_CP068823.1,"IntegerElement(562, attributes={})"
NC_014539.1,"IntegerElement(640512, attributes={})"
NZ_CP014343.1,"IntegerElement(303, attributes={})"
NC_010682.1,"IntegerElement(402626, attributes={})"
NC_007298.1,"IntegerElement(159087, attributes={})"
NZ_CP030159.1,"IntegerElement(487838, attributes={})"
NZ_LS997973.1,"IntegerElement(568708, attributes={})"
NZ_CP028765.1,"IntegerElement(562, attributes={})"
NZ_CP068806.1,"IntegerElement(562, attributes={})"
NZ_CP059489.1,"IntegerElement(305, attributes={})"
NZ_CP028199.1,"IntegerElement(90371, attributes={})"
NZ_LT904888.1,"IntegerElement(90370, attributes={})"
NZ_LT904883.1,"IntegerElement(90370, attributes={})"
NZ_LT904872.1,"IntegerElement(90370, attributes={})"
NZ_LT904854.1,"IntegerElement(90370, attributes={})"
NZ_LT904777.1,"IntegerElement(90370, attributes={})"
NZ_CP033572.1,"IntegerElement(106654, attributes={})"
NZ_CP060650.1,"IntegerElement(546, attributes={})"
NZ_CP020989.1,"IntegerElement(473423, attributes={})"
NZ_CP021018.1,"IntegerElement(473423, attributes={})"
NZ_CP022658.1,"IntegerElement(59201, attributes={})"
NZ_CP033387.1,"IntegerElement(59201, attributes={})"
NZ_CP021462.1,"IntegerElement(90371, attributes={})"
NZ_CP026197.1,"IntegerElement(1920128, attributes={})"
NZ_CP024644.1,"IntegerElement(28448, attributes={})"
NZ_CP026090.1,"IntegerElement(305, attributes={})"
NZ_CP024619.1,"IntegerElement(90371, attributes={})"
NC_021844.1,"IntegerElement(1173427, attributes={})"
NZ_AP024103.1,"IntegerElement(305, attributes={})"
NZ_CP084893.1,"IntegerElement(562, attributes={})"
NZ_CP015404.2,"IntegerElement(1834207, attributes={})"
NZ_LT904878.1,"IntegerElement(90370, attributes={})"
NZ_LT904871.1,"IntegerElement(90370, attributes={})"
NZ_LT904875.1,"IntegerElement(90370, attributes={})"
NZ_CP065033.1,"IntegerElement(1962118, attributes={})"
NZ_CP024239.1,"IntegerElement(2048777, attributes={})"
NC_010338.1,"IntegerElement(366602, attributes={})"
NZ_CP068803.1,"IntegerElement(562, attributes={})"
NZ_CP008864.1,"IntegerElement(287, attributes={})"
NZ_CP024784.1,"IntegerElement(2052938, attributes={})"
NZ_CP050062.1,"IntegerElement(216778, attributes={})"
NZ_CP009614.1,"IntegerElement(44454, attributes={})"
NZ_CP019326.1,"IntegerElement(1883416, attributes={})"
NZ_CP068825.1,"IntegerElement(562, attributes={})"
NZ_CP102181.1,"IntegerElement(305, attributes={})"
NZ_LR134224.1,"IntegerElement(548, attributes={})"
NZ_CP059379.1,"IntegerElement(573, attributes={})"
NZ_CP011324.1,"IntegerElement(562, attributes={})"
NZ_CP039388.1,"IntegerElement(158836, attributes={})"
NC_016902.1,"IntegerElement(595495, attributes={})"
NZ_CP060165.1,"IntegerElement(90371, attributes={})"
NZ_CP053205.2,"IntegerElement(754521, attributes={})"
NZ_CP031562.1,"IntegerElement(573, attributes={})"
NZ_CP034200.1,"IntegerElement(72407, attributes={})"
NZ_CP103081.1,"IntegerElement(47678, attributes={})"
NZ_AP024105.1,"IntegerElement(305, attributes={})"
NZ_LT905142.1,"IntegerElement(90370, attributes={})"
NZ_OW967388.1,"IntegerElement(550, attributes={})"
NZ_CP008823.1,"IntegerElement(1333850, attributes={})"
NZ_CP011279.1,"IntegerElement(93218, attributes={})"
NZ_CP068151.1,"IntegerElement(294, attributes={})"
NZ_LR890434.1,"IntegerElement(573, attributes={})"
NZ_CP020998.1,"IntegerElement(473423, attributes={})"
NZ_CP060659.1,"IntegerElement(546, attributes={})"
NZ_CP049132.1,"IntegerElement(105219, attributes={})"
NZ_LS483492.1,"IntegerElement(61652, attributes={})"
NZ_CP024515.1,"IntegerElement(573, attributes={})"
NZ_CP018036.1,"IntegerElement(520, attributes={})"
NZ_CP016182.1,"IntegerElement(562, attributes={})"
NZ_LR890620.1,"IntegerElement(573, attributes={})"
NZ_CP030799.1,"IntegerElement(696485, attributes={})"
NZ_CP060654.1,"IntegerElement(546, attributes={})"
NZ_CP023435.1,"IntegerElement(2051552, attributes={})"
NZ_CP103577.1,"IntegerElement(158836, attributes={})"
NZ_LT904882.1,"IntegerElement(90370, attributes={})"
NZ_CP034702.1,"IntegerElement(2500152, attributes={})"
NZ_CP022048.1,"IntegerElement(41276, attributes={})"
NZ_CP041090.1,"IntegerElement(1404367, attributes={})"
NZ_CP015404.1,"IntegerElement(1834207, attributes={})"
NZ_CP102371.1,"IntegerElement(2518973, attributes={})"
NZ_CP017727.1,"IntegerElement(702982, attributes={})"
NZ_CP041131.1,"IntegerElement(615, attributes={})"
NZ_CP025706.1,"IntegerElement(648, attributes={})"
NZ_LT904881.1,"IntegerElement(90370, attributes={})"
NZ_CP024819.1,"IntegerElement(546, attributes={})"
NZ_AP024107.1,"IntegerElement(305, attributes={})"
NZ_LT905088.1,"IntegerElement(90370, attributes={})"
NZ_CP013861.1,"IntegerElement(296, attributes={})"
NZ_CP076115.1,"IntegerElement(305, attributes={})"
NZ_CP056586.1,"IntegerElement(546, attributes={})"
NZ_CP021001.1,"IntegerElement(473423, attributes={})"
NZ_CP006693.1,"IntegerElement(1386967, attributes={})"
NZ_CP096208.1,"IntegerElement(65741, attributes={})"
NZ_CP070482.1,"IntegerElement(562, attributes={})"
NZ_CP034253.1,"IntegerElement(562, attributes={})"
NZ_CP057149.1,"IntegerElement(546, attributes={})"
NZ_CP010361.1,"IntegerElement(573, attributes={})"
NZ_LR134154.1,"IntegerElement(59202, attributes={})"
NZ_CP011516.1,"IntegerElement(1650654, attributes={})"
NZ_CP038216.1,"IntegerElement(28450, attributes={})"
NZ_CP019213.1,"IntegerElement(562, attributes={})"
NZ_CP011305.1,"IntegerElement(40324, attributes={})"
NZ_CP090402.1,"IntegerElement(2906475, attributes={})"
NZ_LR890515.1,"IntegerElement(573, attributes={})"
NZ_CP058534.1,"IntegerElement(2755035, attributes={})"
NZ_CP033255.1,"IntegerElement(59201, attributes={})"
NZ_LT904886.1,"IntegerElement(90370, attributes={})"
NZ_CP014070.1,"IntegerElement(35703, attributes={})"
NZ_CP007216.1,"IntegerElement(1454620, attributes={})"
NZ_CP018758.1,"IntegerElement(47885, attributes={})"
NZ_CP057824.1,"IntegerElement(546, attributes={})"
NZ_CP057146.1,"IntegerElement(546, attributes={})"
NZ_CP052110.1,"IntegerElement(305, attributes={})"
NZ_CP007559.1,"IntegerElement(1454627, attributes={})"
NZ_CP052112.1,"IntegerElement(305, attributes={})"
NZ_CP011306.1,"IntegerElement(40324, attributes={})"
NZ_CP013253.1,"IntegerElement(562, attributes={})"
NZ_CP097248.1,"IntegerElement(573, attributes={})"
NZ_CP009360.3,"IntegerElement(439334, attributes={})"
NZ_CP040460.1,"IntegerElement(2968968, attributes={})"
NZ_CP009360.2,"IntegerElement(439334, attributes={})"
NZ_LR890632.1,"IntegerElement(573, attributes={})"
NZ_CP102149.1,"IntegerElement(1307, attributes={})"
NZ_CP050858.1,"IntegerElement(573, attributes={})"
NZ_CP020817.1,"IntegerElement(1977566, attributes={})"
NZ_CP081897.1,"IntegerElement(573, attributes={})"
NZ_CP038233.1,"IntegerElement(363569, attributes={})"
NZ_CP014038.1,"IntegerElement(669, attributes={})"
NZ_CP031368.1,"IntegerElement(573, attributes={})"
NZ_CP015400.1,"IntegerElement(1834198, attributes={})"
NZ_CP034369.1,"IntegerElement(287, attributes={})"
NZ_CP084317.1,"IntegerElement(254955, attributes={})"
NZ_CP007211.1,"IntegerElement(1454592, attributes={})"
NZ_CP026825.1,"IntegerElement(622, attributes={})"
NZ_CP047773.1,"IntegerElement(546, attributes={})"
NZ_CP034409.1,"IntegerElement(287, attributes={})"
NZ_CP045978.1,"IntegerElement(562, attributes={})"
NZ_LK391695.1,"IntegerElement(301, attributes={})"
NZ_CP008934.1,"IntegerElement(272567, attributes={})"
NZ_CP035777.1,"IntegerElement(573, attributes={})"
NZ_CP032855.1,"IntegerElement(135461, attributes={})"
NZ_LR890726.1,"IntegerElement(573, attributes={})"
NZ_CP024504.1,"IntegerElement(573, attributes={})"
NZ_CP039585.1,"IntegerElement(2583588, attributes={})"
NZ_CP007483.1,"IntegerElement(1454590, attributes={})"
NC_008705.1,"IntegerElement(189918, attributes={})"
NZ_CP040827.1,"IntegerElement(550, attributes={})"
NZ_CP025982.1,"IntegerElement(2045202, attributes={})"
NZ_CP065531.1,"IntegerElement(305, attributes={})"
NZ_CP033356.1,"IntegerElement(59201, attributes={})"
NZ_CP091125.1,"IntegerElement(615, attributes={})"
NZ_CP024482.1,"IntegerElement(573, attributes={})"
NZ_CP026810.1,"IntegerElement(621, attributes={})"
NZ_CP030161.1,"IntegerElement(487838, attributes={})"
NZ_CP020448.1,"IntegerElement(57706, attributes={})"
NZ_CP019213.2,"IntegerElement(562, attributes={})"
NZ_CP034482.1,"IntegerElement(34038, attributes={})"
NZ_CP033432.1,"IntegerElement(287, attributes={})"
NZ_CP034481.1,"IntegerElement(34038, attributes={})"
NZ_CP030166.1,"IntegerElement(487838, attributes={})"
NZ_CP015405.1,"IntegerElement(1796616, attributes={})"
NZ_AP018533.1,"IntegerElement(2109688, attributes={})"
NZ_CP046538.1,"IntegerElement(2968968, attributes={})"
NZ_CP014153.1,"IntegerElement(520, attributes={})"
NZ_CP043322.1,"IntegerElement(650, attributes={})"
NZ_CP050065.1,"IntegerElement(1404367, attributes={})"
NZ_CP050066.1,"IntegerElement(1404367, attributes={})"
NC_017671.1,"IntegerElement(1163399, attributes={})"
NZ_CP052100.1,"IntegerElement(305, attributes={})"
NZ_CP052098.1,"IntegerElement(305, attributes={})"
NZ_CP052096.1,"IntegerElement(305, attributes={})"
NZ_CP052088.1,"IntegerElement(305, attributes={})"
NZ_LR134083.1,"IntegerElement(562, attributes={})"
NC_009720.1,"IntegerElement(78245, attributes={})"
NZ_CP011322.1,"IntegerElement(562, attributes={})"
NZ_LT905090.1,"IntegerElement(90370, attributes={})"
NZ_CP012598.1,"IntegerElement(108619, attributes={})"
NZ_CP097658.1,"IntegerElement(573, attributes={})"
NZ_OU943334.1,"IntegerElement(40324, attributes={})"
NZ_CP061359.1,"IntegerElement(573, attributes={})"
NZ_CP017385.1,"IntegerElement(573, attributes={})"
NZ_CP044131.1,"IntegerElement(285, attributes={})"
NZ_AP022264.1,"IntegerElement(654, attributes={})"
NZ_CP024499.1,"IntegerElement(573, attributes={})"
NZ_CP033193.1,"IntegerElement(64187, attributes={})"
NZ_CP064363.1,"IntegerElement(59203, attributes={})"
NZ_CP007641.1,"IntegerElement(1432049, attributes={})"
NZ_CP007444.1,"IntegerElement(1379159, attributes={})"
NZ_CP034399.1,"IntegerElement(562, attributes={})"
NZ_CP026797.1,"IntegerElement(621, attributes={})"
NZ_CP027227.1,"IntegerElement(2094242, attributes={})"
NZ_CP026045.1,"IntegerElement(546, attributes={})"
NZ_CP052078.1,"IntegerElement(305, attributes={})"
NZ_CP052086.1,"IntegerElement(305, attributes={})"
NZ_CP052092.1,"IntegerElement(305, attributes={})"
NZ_CP052094.1,"IntegerElement(305, attributes={})"
NZ_CP052130.1,"IntegerElement(305, attributes={})"
NZ_CP026193.1,"IntegerElement(2066051, attributes={})"
NZ_CP028391.1,"IntegerElement(573, attributes={})"
NZ_CP014666.1,"IntegerElement(1454596, attributes={})"
NZ_CP057866.1,"IntegerElement(546, attributes={})"
NZ_CP076043.1,"IntegerElement(562, attributes={})"
NZ_CP028481.1,"IntegerElement(670, attributes={})"
NZ_LS483434.1,"IntegerElement(192953, attributes={})"
NZ_LS483478.1,"IntegerElement(58100, attributes={})"
NZ_CP060701.1,"IntegerElement(305, attributes={})"
NZ_CP041011.1,"IntegerElement(28901, attributes={})"
NZ_CP032508.1,"IntegerElement(947516, attributes={})"
NZ_LS483481.1,"IntegerElement(134047, attributes={})"
NZ_LS483483.1,"IntegerElement(571, attributes={})"
NZ_CP030838.1,"IntegerElement(1151001, attributes={})"
NZ_AP022274.1,"IntegerElement(550, attributes={})"
NC_011884.1,"IntegerElement(395961, attributes={})"
NZ_CP028568.1,"IntegerElement(196023, attributes={})"
NZ_CP012900.1,"IntegerElement(128780, attributes={})"
NZ_CP068633.1,"IntegerElement(670, attributes={})"
NZ_CP044346.1,"IntegerElement(562, attributes={})"
NZ_CP017562.1,"IntegerElement(754502, attributes={})"
NZ_CP047094.1,"IntegerElement(2686305, attributes={})"
NC_017047.1,"IntegerElement(1151116, attributes={})"
NZ_CP026850.1,"IntegerElement(2027919, attributes={})"
NZ_CP053584.1,"IntegerElement(28901, attributes={})"
NZ_CP026550.1,"IntegerElement(2079228, attributes={})"
NZ_LR134227.1,"IntegerElement(562, attributes={})"
NZ_CP022504.1,"IntegerElement(1243606, attributes={})"
NZ_CP052072.1,"IntegerElement(305, attributes={})"
NZ_CP009678.1,"IntegerElement(78398, attributes={})"
NZ_CP064037.1,"IntegerElement(670, attributes={})"
NZ_CP035633.1,"IntegerElement(550, attributes={})"
NZ_CP020448.2,"IntegerElement(57706, attributes={})"
NZ_CP034368.1,"IntegerElement(287, attributes={})"
NZ_CP015400.2,"IntegerElement(1834198, attributes={})"
NZ_CP040552.1,"IntegerElement(28450, attributes={})"
NZ_CP041126.1,"IntegerElement(615, attributes={})"
NZ_CP017421.1,"IntegerElement(1806905, attributes={})"
NZ_CP102435.1,"IntegerElement(573, attributes={})"
NZ_CP061650.1,"IntegerElement(1530123, attributes={})"
NZ_LR890669.1,"IntegerElement(573, attributes={})"
NZ_LR590472.1,"IntegerElement(287, attributes={})"
NZ_CP044368.1,"IntegerElement(573, attributes={})"
NZ_CP014017.1,"IntegerElement(614, attributes={})"
NZ_CP044305.1,"IntegerElement(562, attributes={})"
NZ_CP044298.1,"IntegerElement(562, attributes={})"
NZ_CP044291.1,"IntegerElement(562, attributes={})"
NZ_CP052126.1,"IntegerElement(305, attributes={})"
NZ_CP052124.1,"IntegerElement(305, attributes={})"
NZ_LR134143.1,"IntegerElement(59201, attributes={})"
NZ_CP052084.1,"IntegerElement(305, attributes={})"
NZ_CP052074.1,"IntegerElement(305, attributes={})"
NZ_CP052070.1,"IntegerElement(305, attributes={})"
NZ_CP024164.1,"IntegerElement(143221, attributes={})"
NZ_CP071914.1,"IntegerElement(305, attributes={})"
NZ_CP034434.1,"IntegerElement(287, attributes={})"
NZ_CP014768.1,"IntegerElement(1813821, attributes={})"
NZ_CP030238.1,"IntegerElement(28901, attributes={})"
NZ_CP033187.1,"IntegerElement(64187, attributes={})"
NZ_CP056520.1,"IntegerElement(573, attributes={})"
NC_010465.1,"IntegerElement(502800, attributes={})"
NZ_CP034668.1,"IntegerElement(585, attributes={})"
NZ_CP024646.1,"IntegerElement(317, attributes={})"
NZ_CP061511.1,"IntegerElement(665913, attributes={})"
NZ_CP006923.1,"IntegerElement(1420012, attributes={})"
NZ_CP050993.1,"IntegerElement(2724619, attributes={})"
NZ_CP008860.1,"IntegerElement(287, attributes={})"
NZ_CP033350.1,"IntegerElement(59201, attributes={})"
NZ_CP033348.1,"IntegerElement(59201, attributes={})"
NZ_CP052061.1,"IntegerElement(1428, attributes={})"
NZ_CP052076.1,"IntegerElement(305, attributes={})"
NZ_CP091369.1,"IntegerElement(470, attributes={})"
NZ_CP063403.1,"IntegerElement(244366, attributes={})"
NZ_CP017296.1,"IntegerElement(294, attributes={})"
NZ_CP014748.1,"IntegerElement(548, attributes={})"
NZ_CP031189.1,"IntegerElement(286783, attributes={})"
NZ_LR890353.1,"IntegerElement(573, attributes={})"
NZ_CP034952.1,"IntegerElement(1422, attributes={})"
NZ_CP007593.1,"IntegerElement(1313, attributes={})"
NZ_LT904877.1,"IntegerElement(90370, attributes={})"
NZ_CP020992.1,"IntegerElement(473423, attributes={})"
NZ_CP067337.1,"IntegerElement(59201, attributes={})"
NZ_CP025541.1,"IntegerElement(573, attributes={})"
NZ_LS483428.1,"IntegerElement(28901, attributes={})"
NZ_CP021006.1,"IntegerElement(473423, attributes={})"
NZ_CP009854.1,"IntegerElement(550, attributes={})"
NZ_CP092037.1,"IntegerElement(562, attributes={})"
NZ_CP057323.1,"IntegerElement(546, attributes={})"
NZ_CP024169.1,"IntegerElement(28901, attributes={})"
NZ_CP017099.1,"IntegerElement(287, attributes={})"
NZ_CP025095.1,"IntegerElement(1307, attributes={})"
NC_007347.1,"IntegerElement(264198, attributes={})"
NZ_LR134303.1,"IntegerElement(24, attributes={})"
NZ_CP029991.1,"IntegerElement(1243607, attributes={})"
NZ_CP084984.1,"IntegerElement(573, attributes={})"
NZ_CP052870.1,"IntegerElement(550, attributes={})"
NZ_CP040434.1,"IntegerElement(40324, attributes={})"
NZ_CP009493.1,"IntegerElement(1299330, attributes={})"
NC_017160.1,"IntegerElement(637385, attributes={})"
NZ_CP034716.1,"IntegerElement(286782, attributes={})"
NZ_CP034483.1,"IntegerElement(34038, attributes={})"
NZ_CP014015.1,"IntegerElement(35703, attributes={})"
NC_016831.1,"IntegerElement(1081093, attributes={})"
NZ_CP027697.1,"IntegerElement(573, attributes={})"
NZ_CP026887.1,"IntegerElement(520, attributes={})"
NZ_CP062993.1,"IntegerElement(573, attributes={})"
NZ_CP052080.1,"IntegerElement(305, attributes={})"
NZ_CP052082.1,"IntegerElement(305, attributes={})"
NZ_CP034721.1,"IntegerElement(58096, attributes={})"
NZ_LR134075.1,"IntegerElement(562, attributes={})"
NZ_CP061598.1,"IntegerElement(1530123, attributes={})"
NZ_LS483493.1,"IntegerElement(600, attributes={})"
NZ_CP043557.1,"IntegerElement(666, attributes={})"
NC_007958.1,"IntegerElement(316057, attributes={})"
NC_009138.1,"IntegerElement(204773, attributes={})"
NZ_CP022552.1,"IntegerElement(670, attributes={})"
NC_008146.1,"IntegerElement(164756, attributes={})"
NZ_CP076382.1,"IntegerElement(487521, attributes={})"
NZ_CP076379.1,"IntegerElement(1767, attributes={})"
NZ_CP076378.1,"IntegerElement(1767, attributes={})"
NZ_CP091519.1,"IntegerElement(153491, attributes={})"
NZ_CP057746.1,"IntegerElement(546, attributes={})"
NZ_CP057782.1,"IntegerElement(2742619, attributes={})"
NZ_CP065366.1,"IntegerElement(47951, attributes={})"
NZ_CP004371.1,"IntegerElement(1257021, attributes={})"
NZ_CP040019.1,"IntegerElement(1270, attributes={})"
NZ_CP063013.1,"IntegerElement(573, attributes={})"
NZ_LT969520.1,"IntegerElement(287, attributes={})"
NZ_LR890595.1,"IntegerElement(573, attributes={})"
NZ_CP052122.1,"IntegerElement(305, attributes={})"
NZ_CP045325.1,"IntegerElement(2587868, attributes={})"
NZ_CP011313.1,"IntegerElement(72407, attributes={})"
NC_017445.1,"IntegerElement(215689, attributes={})"
NZ_LR890474.1,"IntegerElement(573, attributes={})"
NZ_LR215977.1,"IntegerElement(28090, attributes={})"
NZ_LS483419.1,"IntegerElement(600, attributes={})"
NC_012850.1,"IntegerElement(395491, attributes={})"
NZ_CP017561.1,"IntegerElement(754502, attributes={})"
NZ_CP015406.1,"IntegerElement(292800, attributes={})"
NZ_CP014029.1,"IntegerElement(548, attributes={})"
NZ_CP052128.1,"IntegerElement(305, attributes={})"
NZ_CP063684.2,"IntegerElement(58096, attributes={})"
NZ_CP021890.1,"IntegerElement(492670, attributes={})"
NZ_OW968417.1,"IntegerElement(550, attributes={})"
NZ_CP020442.1,"IntegerElement(147645, attributes={})"
NZ_CP026839.1,"IntegerElement(622, attributes={})"
NZ_CP034713.1,"IntegerElement(149388, attributes={})"
NZ_CP013397.1,"IntegerElement(95486, attributes={})"
NC_022082.1,"IntegerElement(1380908, attributes={})"
NZ_CP033430.1,"IntegerElement(28095, attributes={})"
NZ_CP087277.1,"IntegerElement(305, attributes={})"
NZ_CP008862.2,"IntegerElement(287, attributes={})"
NC_013411.1,"IntegerElement(544556, attributes={})"
NZ_LS483495.1,"IntegerElement(28901, attributes={})"
NC_010634.1,"IntegerElement(502801, attributes={})"
NZ_CP028951.1,"IntegerElement(548, attributes={})"
NZ_CP081891.1,"IntegerElement(573, attributes={})"
NZ_LR890317.1,"IntegerElement(573, attributes={})"
NZ_CP041023.1,"IntegerElement(573, attributes={})"
NC_009438.1,"IntegerElement(319224, attributes={})"
NC_009439.1,"IntegerElement(399739, attributes={})"
NZ_CP034715.1,"IntegerElement(149388, attributes={})"
NZ_CP034953.1,"IntegerElement(562, attributes={})"
NZ_CP027543.1,"IntegerElement(316, attributes={})"
NZ_LR890307.1,"IntegerElement(573, attributes={})"
NZ_CP041649.1,"IntegerElement(573, attributes={})"
NZ_CP076380.1,"IntegerElement(1767, attributes={})"
NZ_CP056029.1,"IntegerElement(573, attributes={})"
NZ_LS483463.1,"IntegerElement(46626, attributes={})"
NZ_LT635479.1,"IntegerElement(1871021, attributes={})"
NZ_CP022089.1,"IntegerElement(1930557, attributes={})"
NZ_CP042606.1,"IntegerElement(562, attributes={})"
NZ_CP049836.1,"IntegerElement(2055, attributes={})"
NZ_CP032851.1,"IntegerElement(149539, attributes={})"
NZ_CP051860.1,"IntegerElement(224308, attributes={})"
NZ_LR134144.1,"IntegerElement(59201, attributes={})"
NC_021984.1,"IntegerElement(1298917, attributes={})"
NZ_CP040436.1,"IntegerElement(40324, attributes={})"
NZ_CP068797.1,"IntegerElement(573, attributes={})"
NZ_CP046033.1,"IntegerElement(2664291, attributes={})"
NZ_CP011966.2,"IntegerElement(1428454, attributes={})"
NZ_CP009850.1,"IntegerElement(550, attributes={})"
NZ_CP008862.1,"IntegerElement(287, attributes={})"
NZ_CP045486.1,"IntegerElement(550, attributes={})"
NZ_CP037927.1,"IntegerElement(573, attributes={})"
NZ_CP016044.1,"IntegerElement(1263550, attributes={})"
NZ_CP009482.1,"IntegerElement(1299329, attributes={})"
NZ_CP011265.1,"IntegerElement(1637999, attributes={})"
NZ_CP020979.1,"IntegerElement(473423, attributes={})"
NZ_CP053390.1,"IntegerElement(287, attributes={})"
NZ_LS483475.1,"IntegerElement(297361, attributes={})"
NZ_CP047671.1,"IntegerElement(1263550, attributes={})"
NZ_AP018536.1,"IntegerElement(2109691, attributes={})"
NZ_CP009364.1,"IntegerElement(1454377, attributes={})"
NZ_CP060259.1,"IntegerElement(40324, attributes={})"
NZ_LR890217.1,"IntegerElement(573, attributes={})"
NC_014355.1,"IntegerElement(330214, attributes={})"
NZ_LR890245.1,"IntegerElement(573, attributes={})"
NZ_CP026842.1,"IntegerElement(622, attributes={})"
NZ_CP037857.1,"IntegerElement(679895, attributes={})"
NZ_CP104324.1,"IntegerElement(40324, attributes={})"
NZ_LR890643.1,"IntegerElement(573, attributes={})"
NZ_CP064829.1,"IntegerElement(180434, attributes={})"
NZ_LR134118.1,"IntegerElement(546, attributes={})"
NZ_CP041365.1,"IntegerElement(202954, attributes={})"
NZ_CP057867.1,"IntegerElement(546, attributes={})"
NZ_CP034970.1,"IntegerElement(170679, attributes={})"
NZ_CP013000.1,"IntegerElement(1428, attributes={})"
NZ_CP018306.1,"IntegerElement(573, attributes={})"
NZ_CP007540.1,"IntegerElement(1454606, attributes={})"
NZ_LR134232.1,"IntegerElement(59201, attributes={})"
NZ_CP021896.1,"IntegerElement(2027919, attributes={})"
NZ_CP076381.1,"IntegerElement(1767, attributes={})"
NZ_CP007781.1,"IntegerElement(95486, attributes={})"
NZ_CP020722.1,"IntegerElement(1423, attributes={})"
NZ_LR134204.1,"IntegerElement(545, attributes={})"
NZ_CP063162.1,"IntegerElement(1422, attributes={})"
NZ_AP024161.1,"IntegerElement(305, attributes={})"
NZ_CP011077.1,"IntegerElement(1134687, attributes={})"
NZ_CP032622.1,"IntegerElement(1173457, attributes={})"
NZ_LR890556.1,"IntegerElement(573, attributes={})"
NC_012793.1,"IntegerElement(471223, attributes={})"
NZ_CP017290.1,"IntegerElement(1898684, attributes={})"
NZ_CP091362.1,"IntegerElement(470, attributes={})"
NZ_CP033081.1,"IntegerElement(37929, attributes={})"
NZ_CP060008.1,"IntegerElement(2735906, attributes={})"
NZ_LR590473.1,"IntegerElement(287, attributes={})"
NZ_CP081890.1,"IntegerElement(573, attributes={})"
NZ_CP081892.1,"IntegerElement(573, attributes={})"
NZ_CP081894.1,"IntegerElement(573, attributes={})"
NZ_CP081896.1,"IntegerElement(573, attributes={})"
NZ_CP023474.1,"IntegerElement(1200792, attributes={})"
