accession_version,taxid
NZ_CP022768.1,"IntegerElement(305, attributes={})"
NZ_CP018046.1,"IntegerElement(316, attributes={})"
NZ_CP046406.1,"IntegerElement(287, attributes={})"
NZ_CP018362.1,"IntegerElement(571, attributes={})"
NZ_CP018252.1,"IntegerElement(562, attributes={})"
NZ_CP085710.1,"IntegerElement(2884833, attributes={})"
NZ_CP068819.1,"IntegerElement(562, attributes={})"
NZ_CP031449.1,"IntegerElement(287, attributes={})"
NZ_CP013731.1,"IntegerElement(1395570, attributes={})"
NZ_LR134235.1,"IntegerElement(244366, attributes={})"
NZ_CP041749.1,"IntegerElement(562, attributes={})"
NZ_CP011020.1,"IntegerElement(587753, attributes={})"
NZ_CP022084.1,"IntegerElement(292, attributes={})"
NZ_CP045552.1,"IntegerElement(287, attributes={})"
NZ_CP014752.1,"IntegerElement(562, attributes={})"
NZ_CP068824.1,"IntegerElement(562, attributes={})"
NZ_CP068804.1,"IntegerElement(562, attributes={})"
NZ_CP044546.1,"IntegerElement(2651048, attributes={})"
NZ_AP018784.1,"IntegerElement(562, attributes={})"
NZ_CP022786.1,"IntegerElement(305, attributes={})"
NZ_CP049787.1,"IntegerElement(305, attributes={})"
NZ_CP022481.1,"IntegerElement(305, attributes={})"
NZ_CP014670.1,"IntegerElement(562, attributes={})"
NZ_CP023014.1,"IntegerElement(305, attributes={})"
NZ_CP008865.1,"IntegerElement(287, attributes={})"
NZ_CP015401.1,"IntegerElement(1796613, attributes={})"
NZ_CP072873.1,"IntegerElement(294, attributes={})"
NZ_CP006834.1,"IntegerElement(1954351, attributes={})"
NZ_CP049791.1,"IntegerElement(305, attributes={})"
NC_008782.1,"IntegerElement(232721, attributes={})"
NZ_CP068813.1,"IntegerElement(562, attributes={})"
NZ_CP016612.1,"IntegerElement(1130829, attributes={})"
NZ_CP049793.1,"IntegerElement(305, attributes={})"
NZ_CP068800.1,"IntegerElement(562, attributes={})"
NZ_CP047898.1,"IntegerElement(2697569, attributes={})"
NZ_CP053852.1,"IntegerElement(562, attributes={})"
NZ_CP013142.1,"IntegerElement(1751294, attributes={})"
NZ_CP068805.1,"IntegerElement(562, attributes={})"
NZ_CP021448.1,"IntegerElement(305, attributes={})"
NZ_CP040919.1,"IntegerElement(562, attributes={})"
NZ_CP012112.1,"IntegerElement(562, attributes={})"
NZ_CP011508.1,"IntegerElement(300, attributes={})"
NZ_CP025229.1,"IntegerElement(1978467, attributes={})"
NZ_CP027477.1,"IntegerElement(198620, attributes={})"
NZ_CP054473.1,"IntegerElement(287, attributes={})"
NZ_CP091038.1,"IntegerElement(562, attributes={})"
NZ_CP053251.1,"IntegerElement(562, attributes={})"
NC_010501.1,"IntegerElement(390235, attributes={})"
NZ_CP068812.1,"IntegerElement(562, attributes={})"
NZ_CP022765.1,"IntegerElement(305, attributes={})"
NZ_CP068820.1,"IntegerElement(562, attributes={})"
NZ_CP026932.1,"IntegerElement(562, attributes={})"
NZ_CP020525.1,"IntegerElement(550, attributes={})"
NZ_CP012400.1,"IntegerElement(294, attributes={})"
NZ_LR778144.1,"IntegerElement(562, attributes={})"
NZ_CP030328.1,"IntegerElement(287, attributes={})"
NZ_AP014951.1,"IntegerElement(571, attributes={})"
NZ_CP009764.1,"IntegerElement(1429399, attributes={})"
NZ_CP030783.1,"IntegerElement(208962, attributes={})"
NZ_CP022778.1,"IntegerElement(305, attributes={})"
NZ_CP065611.1,"IntegerElement(562, attributes={})"
NZ_CP022780.1,"IntegerElement(305, attributes={})"
NZ_CP031810.1,"IntegerElement(573, attributes={})"
NZ_CP015850.1,"IntegerElement(305, attributes={})"
NZ_LR131271.1,"IntegerElement(577, attributes={})"
NZ_CP033396.1,"IntegerElement(573, attributes={})"
NC_008061.1,"IntegerElement(331271, attributes={})"
NZ_CP008870.1,"IntegerElement(287, attributes={})"
NZ_LR134300.1,"IntegerElement(294, attributes={})"
NZ_CP028589.1,"IntegerElement(562, attributes={})"
NZ_CP027344.1,"IntegerElement(562, attributes={})"
NZ_CP025511.1,"IntegerElement(1914992, attributes={})"
NZ_CP079836.1,"IntegerElement(59202, attributes={})"
NZ_CP032266.1,"IntegerElement(1906, attributes={})"
NZ_LR134151.1,"IntegerElement(82996, attributes={})"
NZ_CP016079.1,"IntegerElement(935546, attributes={})"
NZ_CP028180.1,"IntegerElement(573, attributes={})"
NZ_CP018414.1,"IntegerElement(28450, attributes={})"
NZ_CP024085.1,"IntegerElement(303, attributes={})"
NZ_LR134159.1,"IntegerElement(59205, attributes={})"
NZ_CP029384.1,"IntegerElement(72407, attributes={})"
NC_017663.1,"IntegerElement(910348, attributes={})"
NZ_LR134078.1,"IntegerElement(562, attributes={})"
NZ_CP033856.1,"IntegerElement(87883, attributes={})"
NZ_CP026715.1,"IntegerElement(571, attributes={})"
NZ_CP049789.1,"IntegerElement(305, attributes={})"
NZ_CP103242.1,"IntegerElement(823, attributes={})"
NZ_CP110818.1,"IntegerElement(1218177, attributes={})"
NZ_CP012599.1,"IntegerElement(108619, attributes={})"
NZ_LR134478.1,"IntegerElement(82996, attributes={})"
NZ_CP024603.1,"IntegerElement(2051553, attributes={})"
NZ_CP099529.1,"IntegerElement(56458, attributes={})"
NZ_LR134253.1,"IntegerElement(577, attributes={})"
NZ_CP078142.1,"IntegerElement(59204, attributes={})"
NZ_LN997842.1,"IntegerElement(1926, attributes={})"
NZ_CP028583.1,"IntegerElement(573, attributes={})"
NZ_AP019378.1,"IntegerElement(519, attributes={})"
NZ_CP026585.2,"IntegerElement(573, attributes={})"
NC_008435.1,"IntegerElement(316055, attributes={})"
NZ_CP018770.1,"IntegerElement(562, attributes={})"
NZ_CP023048.1,"IntegerElement(47880, attributes={})"
NZ_CP032833.1,"IntegerElement(573, attributes={})"
NZ_AP014950.1,"IntegerElement(573, attributes={})"
NZ_CP027748.1,"IntegerElement(587851, attributes={})"
NZ_CP024978.1,"IntegerElement(562, attributes={})"
NZ_CP043571.1,"IntegerElement(78543, attributes={})"
NZ_CP058970.1,"IntegerElement(80866, attributes={})"
NZ_CP062255.1,"IntegerElement(2776703, attributes={})"
NZ_CP042278.1,"IntegerElement(2487422, attributes={})"
NZ_CP054422.1,"IntegerElement(2339227, attributes={})"
NZ_CP045919.1,"IntegerElement(2664417, attributes={})"
NZ_CP068828.1,"IntegerElement(562, attributes={})"
NZ_CP034408.1,"IntegerElement(573, attributes={})"
NZ_CP028797.1,"IntegerElement(573, attributes={})"
NZ_CP028793.1,"IntegerElement(573, attributes={})"
NZ_CP026935.1,"IntegerElement(562, attributes={})"
NZ_CP028150.1,"IntegerElement(488, attributes={})"
NZ_CP022229.2,"IntegerElement(562, attributes={})"
NZ_CP026145.1,"IntegerElement(573, attributes={})"
NZ_CP045701.1,"IntegerElement(930166, attributes={})"
NZ_CP034074.1,"IntegerElement(2339227, attributes={})"
NZ_CP078013.1,"IntegerElement(2853159, attributes={})"
NZ_CP065624.1,"IntegerElement(562, attributes={})"
NZ_CP020967.1,"IntegerElement(317013, attributes={})"
NZ_CP053579.1,"IntegerElement(28901, attributes={})"
NZ_CP028542.2,"IntegerElement(573, attributes={})"
NZ_CP037441.1,"IntegerElement(1972757, attributes={})"
NZ_AP014565.1,"IntegerElement(996633, attributes={})"
NZ_CP028768.1,"IntegerElement(562, attributes={})"
NZ_AP022519.1,"IntegerElement(550, attributes={})"
NZ_CP007053.1,"IntegerElement(794903, attributes={})"
NZ_CP022755.1,"IntegerElement(305, attributes={})"
NZ_CP024997.1,"IntegerElement(562, attributes={})"
NZ_CP042627.1,"IntegerElement(562, attributes={})"
NZ_CP048412.1,"IntegerElement(573, attributes={})"
NZ_CP028555.1,"IntegerElement(244366, attributes={})"
NZ_CP026975.1,"IntegerElement(2027919, attributes={})"
NC_015136.1,"IntegerElement(640510, attributes={})"
NZ_CP024266.1,"IntegerElement(1446746, attributes={})"
NZ_CP100551.1,"IntegerElement(2961531, attributes={})"
NZ_CP054715.1,"IntegerElement(28901, attributes={})"
NZ_CP022782.1,"IntegerElement(305, attributes={})"
NC_009832.1,"IntegerElement(399741, attributes={})"
